"","lon","lat","location"
"231","151.486092","-33.3565794","Long Jetty, Australia"
"232","151.4365141","-33.3248294","Chittaway Bay, Australia"
"233","151.45683","-33.2701051","Wadalba, Australia"
"234","151.4254883","-33.3568016","Glenning Valley, Australia"
"235","151.4389726","-33.4226237","Wamberal, Australia"
"236","151.4863863","-33.2428518","Woongarrah, Australia"
"237","151.3281447","-33.4393666","Point Clare, Australia"
"238","151.3491336","-33.4158641","North Gosford, Australia"
"239","151.1092299","-33.7068203","Waitara, Australia"
"240","151.2965146","-33.434043","Kariong, Australia"
"241","151.3900807","-33.4338169","Erina, Australia"
"242","151.341667","-33.426667","Gosford, Australia"
"243","151.4063776","-33.4027419","Holgate, Australia"
"244","151.3259426","-33.4887953","Woy Woy, Australia"
"245","151.1719212","-33.3288626","Mangrove mountain, Australia"
"246","151.3453802","-33.3922829","Narara, Australia"
"247","151.444461","-33.448011","Terrigal, Australia"
"248","151.3585032","-33.4765854","Saratoga, Australia"
"249","151.5104696","-33.2575548","Gorokan, Australia"
"250","151.3898882","-33.4689844","Kincumber, Australia"
"251","151.4039364","-33.3353173","Fountaindale, Australia"
"252","151.4650238","-33.4057691","Forresters Beach, Australia"
"253","151.318","-33.466","Koolewong, Australia"
"254","151.5526668","-32.4298609","East gresford, Australia"
"255","151.7162801","-32.8812531","Warabrook, Australia"
"256","151.8135809","-32.8614844","Fern Bay, Australia"
"257","151.6937761","-32.8797702","Shortland, Australia"
"258","149.7782102","-33.6680949","Mayfield, Australia"
"259","151.6948326","-32.9042681","Jesmond, Australia"
"260","133.775136","-25.274398","Pelican, Australia"
"261","151.6451875","-33.1070067","Caves beach, Australia"
"262","151.5702302","-33.1394087","Summerland point, Australia"
"263","151.6062932","-33.1350366","Nords Wharf, Australia"
"264","151.6349517","-33.0852462","Swansea, Australia"
"265","151.6474174","-33.0555879","Marks Point, Australia"
"266","151.6451875","-33.1070067","Caves Beach, Australia"
"267","151.6474174","-33.0555879","Marks point, Australia"
"268","151.6568211","-32.9482066","Cardiff, Australia"
"269","151.5702302","-33.1394087","Summer land point, Australia"
"270","151.6163827","-33.121914","Cams wharf, Australia"
"271","151.6157701","-33.115712","Murrays beach, Australia"
"272","151.560865","-32.9345623","Killingworth, Australia"
"273","133.775136","-25.274398","Tayla, Australia"
"274","NA","NA","Emma, Australia"
"275","151.5278121","-32.7645383","Gillieston, Australia"
"276","151.5813847","-32.9039409","West wallsend, Australia"
"277","153.1217063","-27.5416334","Makenzi, Australia"
"278","151.6220456","-32.9238077","Edgeworth, Australia"
"279","151.4830459","-32.9293369","Mount Vincent, Australia"
"280","151.5790318","-32.9148889","Holmesville, Australia"
"281","151.6231985","-32.9526508","Boolaroo, Australia"
"282","-0.1275862","51.5072178","London, United Kingdom"
